PIN,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,,AF11,AF12,AF13,AF14,AF15
PA0,,,USART2_CTS,,,TIM8_ETR,TIM2_CH1_ETR,TIM5_CH1,,,,,,,,,EVENTOUT
PA1,,,USART2_RTS,,,,TIM2_CH2,TIM5_CH2,,,,,,,,,EVENTOUT
PA2,,,USART2_TX,,,,TIM2_CH3,TIM5_CH3,TIM9_CH1,,ESMC_SS0,,,,,,EVENTOUT
PA3,,,USART2_RX,,,,TIM2_CH4,TIM5_CH4,TIM9_CH2,,ESMC_CLK,,,,,,EVENTOUT
PA4,,,USART2_CK,SPI1_NSS,,,,,,,,,,,,,EVENTOUT
PA5,,,,SPI1_SCK,,,,,,,,,,,,,EVENTOUT
PA6,,,,SPI1_MISO,,TIM8_BKIN,TIM3_CH1,,TIM13_CH1,,ESMC_IO3,,,,,,EVENTOUT
PA7,,,,SPI1_MOSI,,TIM8_CH1N,,,TIM14_CH1,,ESMC_IO2,,,,,,EVENTOUT
PA8,MCO,,USART1_CK,,TIM1_CH1,,,,,,,,,,,,EVENTOUT
PA9,,,USART1_TX,,TIM1_CH2,,,,,,,,,,,,EVENTOUT
PA10,,,USART1_RX,CTC_SYNC,TIM1_CH3,,,,,,,,,,,,EVENTOUT
PA11,,,USART1_CTS,,TIM1_CH4,,,,,,CAN_RX,,,,,,EVENTOUT
PA12,,,USART1_RTS,,TIM1_ETR,,,,,,CAN_TX,,,,,,EVENTOUT
PA13,JTMS-SWDIO,,,,,,,,,,,,,,,,EVENTOUT
PA14,JTCK-SWCLK,,,,,,,,,,,,,,,,EVENTOUT
PA15,JTDI,,SPI3_NSS,SPI1_NSS,,,TIM2_CH1_ETR,,,,,,,,,,EVENTOUT
PB0,,,,,TIM1_CH2N,TIM8_CH2N,TIM3_CH3,,,,ESMC_IO1,,,,,,EVENTOUT
PB1,,,,,TIM1_CH3N,TIM8_CH3N,,,,,ESMC_IO0,,,,,,EVENTOUT
PB2,,,,,,,,,,,,,,,,,EVENTOUT
PB3,JTDO-TRACESWO,,SPI3_SCK,SPI1_SCK,,,TIM2_CH2,,,,,,,,,,EVENTOUT
PB4,NJTRST,,SPI3_MISO,SPI1_MISO,,,TIM3_CH1,,,,,,,,,,EVENTOUT
PB5,,I2C1_SMBA,SPI3_MOSI,SPI1_MOSI,,,TIM3_CH2,,,,,,,,,,EVENTOUT
PB6,,I2C1_SCL,USART1_TX,,,,TIM4_CH1,,,,,,,,,,EVENTOUT
PB7,,I2C1_SDA,USART1_RX,,,,TIM4_CH2,,,,,,,,,,EVENTOUT
PB8,,I2C1_SCL,,,,,TIM4_CH3,,TIM10_CH1,,CAN_RX,,SDIO_D4,,,,EVENTOUT
PB9,,I2C1_SDA,,,,,TIM4_CH4,,TIM11_CH1,,CAN_TX,,SDIO_D5,,,,EVENTOUT
PB10,,I2C2_SCL,USART3_TX,,,,TIM2_CH3,,,,ESMC_CLK,,,,,,EVENTOUT
PB11,,I2C2_SDA,USART3_RX,,,,TIM2_CH4,,,,ESMC_SS1,,,,,,EVENTOUT
PB12,,I2C2_SMBA,USART3_CK,SPI2_NSS,TIM1_BKIN,,,TIM5_ETR,,,,,,,,I2S2_WS,EVENTOUT
PB13,,,USART3_CTS,SPI2_SCK,TIM1_CH1N,,,,,,,,,,,I2S2_CK,EVENTOUT
PB14,,,USART3_RTS,SPI2_MISO,TIM1_CH2N,,,,TIM12_CH1,,,,,,,,EVENTOUT
PB15,,,,SPI2_MOSI,TIM1_CH3N,,,,TIM12_CH2,,,,,,,I2S2_SD,EVENTOUT
PC0,,,,,,,,,,,,,,,,,EVENTOUT
PC1,,,,,,,,,,,ESMC_IO4,,,,,,EVENTOUT
PC2,,,,,,,,,,,ESMC_IO5,,,,,,EVENTOUT
PC3,,,,,,,,,,,ESMC_IO6,,,,,,EVENTOUT
PC4,,,,,,,,,,,ESMC_IO7,,,,,,EVENTOUT
PC5,,,,,,,,,,,,,,,,I2S1_MCK,EVENTOUT
PC6,,USART4_CK,,,,TIM8_CH1,TIM3_CH1,,,,,,SDIO_D6,,,I2S2_MCK,EVENTOUT
PC7,,USART4_CTS,,,,TIM8_CH2,TIM3_CH2,,,,,,SDIO_D7,,,,EVENTOUT
PC8,,USART4_RTS,,,,TIM8_CH3,TIM3_CH3,,,,,,SDIO_D0,,,,EVENTOUT
PC9,,,,,,TIM8_CH4,TIM3_CH4,,,,,,SDIO_D1,,,,EVENTOUT
PC10,,USART4_TX,USART3_TX,,,,,,,,,,SDIO_D2,,,I2S1_CK,EVENTOUT
PC11,,USART4_RX,USART3_RX,,,,,,,,,,SDIO_D3,,,I2S1_WS,EVENTOUT
PC12,,USART5_TX,USART3_CK,,,,,,,,,,SDIO_CK,,,I2S1_SD,EVENTOUT
PC13,,,,,,,,,,,,,,,,,EVENTOUT
PC14,,,,,,,,,,,,,,,,,EVENTOUT
PC15,,,,,,,,,,,,,,,,,EVENTOUT
PD0,,,,,,,,,,,CAN_RX,,,,,,EVENTOUT
PD1,,,,,,,,,,,CAN_TX,,,,,,EVENTOUT
PD2,,USART5_RX,,,,,TIM3_ETR,,,,,,SDIO_CMD,,,,EVENTOUT
PD3,,USART5_CK,USART2_CTS,,,,,,,,ESMC_SS2,,,,,,EVENTOUT
PD4,,USART5_CTS,USART2_RTS,,,,,,,,ESMC_IO4,,,,,,EVENTOUT
PD5,,USART5_RTS,USART2_TX,,,,,,,,ESMC_IO5,,,,,,EVENTOUT
PD6,,,USART2_RX,,,,,,,,ESMC_IO6,,,,,,EVENTOUT
PD7,,,USART2_CK,,,,,,,,ESMC_IO7,,,,,,EVENTOUT
PD8,,,USART3_TX,,,,,,,,,,,,,,EVENTOUT
PD9,,,USART3_RX,,,,,,,,,,,,,,EVENTOUT
PD10,,,USART3_CK,,,,,TIM5_ETR,,,,,,,,,EVENTOUT
PD11,,,USART3_CTS,,,,,,,,,,,,,,EVENTOUT
PD12,,,USART3_RTS,,,,TIM4_CH1,,,,,,,,,,EVENTOUT
PD13,,,,,,,TIM4_CH2,,,,,,,,,,EVENTOUT
PD14,,,,,,,TIM4_CH3,,,,,,,,,,EVENTOUT
PD15,,,,,,,TIM4_CH4,,,,,,,,,,EVENTOUT
PE0,,,,,,,TIM4_ETR,,,,,,,,,,EVENTOUT
PE1,,,,,,,,,,,,,,,,,EVENTOUT
PE2,TRACECK,,,,,,,,,,,,,,,,EVENTOUT
PE3,TRACED0,,,,,,,,,,,,,,,,EVENTOUT
PE4,TRACED1,,,,,,,,,,,,,,,,EVENTOUT
PE5,TRACED2,,,,,,,,TIM9_CH1,,,,,,,,EVENTOUT
PE6,TRACED3,,,,,,,,TIM9_CH2,,,,,,,,EVENTOUT
PE7,,,,,TIM1_ETR,,,,,,,,,,,,EVENTOUT
PE8,,,,,TIM1_CH1N,,,,,,,,,,,,EVENTOUT
PE9,,,,,TIM1_CH1,,,,,,,,,,,,EVENTOUT
PE10,,,,,TIM1_CH2N,,,,,,ESMC_CLK,,,,,,EVENTOUT
PE11,,,,,TIM1_CH2,,,,,,ESMC_SS3,,,,,,EVENTOUT
PE12,,,,,TIM1_CH3N,,,,,,ESMC_IO0,,,,,,EVENTOUT
PE13,,,,,TIM1_CH3,,,,,,ESMC_IO1,,,,,,EVENTOUT
PE14,,,,,TIM1_CH4,,,,,,ESMC_IO2,,,,,,EVENTOUT
PE15,,,,,TIM1_BKIN,,,,,,ESMC_IO3,,,,,,EVENTOUT
